Y,Y,K,K,Y,Y,Y,O,O,O,O,O,Y,Y,P,P,P,P,Y,S,S,S,S
Y,Y,K,K,Y,Y,Y,O,O,O,O,O,Y,Y,P,P,P,P,Y,S,S,S,S
Y,K,K,K,K,Y,Y,O,O,O,O,O,Y,Y,P,P,P,P,Y,S,S,S,S
Y,K,K,K,K,Y,Y,O,O,O,O,O,Y,Y,P,P,P,P,Y,S,S,S,S
Y,K,K,K,K,Y,Y,O,O,O,O,OD,Y,Y,P,P,P,P,Y,S,S,S,S
Y,K,K,K,K,Y,Y,Y,Y,Y,Y,Y,Y,Y,P,P,P,P,Y,S,S,S,SD
Y,Y,K,K,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,P,P,P,Y,SD,S,S,Y
Y,Y,K,K,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,P,P,P,Y,Y,Y,Y,Y
Y,Y,K,KD,Y,Y,Y,Q,Q,Q,Q,Q,Q,Q,Y,P,PD,P,Y,Y,Y,Y,Y
Y,Y,Y,Y,Y,Y,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,Y,Y,Y,Y,Y,Y
Y,Y,Y,Y,Y,Y,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,Y,Y,Y,Y,Y,Y
R,R,R,R,R,R,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,Y,Y,Y,Y,Y,Y
R,R,R,R,R,R,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,X,XU,X,X,X,X
R,R,R,R,R,R,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,X,X,X,X,X,X
Y,Y,Y,Y,R,RR,Y,Q,Q,Q,Q,Q,Q,Q,Y,Y,Y,X,X,X,X,X,X
Y,L,L,Y,Y,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,X,X,X,X,X
L,L,L,L,Y,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,X,X,X,X,X
L,L,L,L,Y,R,Y,Y,J,J,J,Y,G,GU,G,G,Y,X,X,X,X,X,X
L,L,L,LR,Y,Y,Y,Y,J,J,J,Y,G,G,G,G,Y,X,X,X,X,X,X
L,L,L,L,Y,Y,Y,J,J,J,J,Y,G,G,G,G,Y,X,X,X,X,X,X
L,L,L,L,Y,Y,Y,JL,J,J,J,Y,G,G,G,G,Y,X,X,X,X,X,X
